name,brand,category,price,cost,imageUrl,description,material,colors,tags,XS,S,M,L,XL,XXL,status
Jean Recto 315,Sail,Jeans,152250,76125,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39010250JEANRECTO315AZUL01.jpg?v=1771939649,"Jean recto tiro alto, azul con desgastes en costuras y bigotes levemente marcados. Posee 5 bolsillos. Composición: 65,5% algodón - 29% poliéster - 3,5% rayón - 2% elastano Referencia: La modelo mide 1.71m y usa talle S","65,5% algodón - 29% poliéster - 3,5% rayón - 2% elastano","[{""name"":""Azul"",""sizes"":{""23"":5,""24"":4,""25"":4,""26"":3,""28"":5,""30"":7,""32"":3,""34"":4,""36"":4}}]","denim,invierno26,jean",5,4,4,3,5,7,active
Jean Wide Leg 908,Sail,Jeans,133350,66675,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/Wide_Leg_908_3.jpg?v=1773847758,"Jean wide leg tiro alto, azul oscuro con localizado, posee cintura angosta y 5 bolsillos. Composición: 100% Algodón. Referencia: La modelo mide 1.74m y usa talle 26.",100% Algodón.,"[{""name"":""Azul"",""sizes"":{""23"":7,""24"":6,""25"":8,""26"":4,""28"":9,""30"":11,""32"":9,""34"":7,""36"":5}}]","denim,invierno26,jean,jeans",7,6,8,4,9,11,active
Jean Recto 340,Sail,Jeans,123480,61740,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39010350JEANRECTO340AZUL02.jpg?v=1771956085,"Jean recto tiro alto, azul con localizado suave. Posee 5 bolsillos. Composición: 65,5% algodón - 29% poliéster - 3,5% rayón - 2% elastano Referencia: La modelo mide 1.71m y usa talle S","65,5% algodón - 29% poliéster - 3,5% rayón - 2% elastano","[{""name"":""Azul"",""sizes"":{""23"":7,""24"":9,""25"":5,""26"":4,""28"":3,""30"":11,""32"":4,""34"":4,""36"":5}}]","denim,hotsale26,invierno26,jean",7,9,5,4,3,11,active
Jean Oxford 810,Sail,Jeans,132300,66150,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39010550_JEAN_OXFORD_810_AZUL_02.jpg?v=1771956542,"Jean oxford elastizado tiro alto, 5 bolsillo, con lavado azul con reservas. localizado y bigotes levemente marcados. Composición: 65,5% algodón - 29% poliéster - 3,5% rayón - 2% elastano Referencia: La modelo mide 1.61m y usa talle S.","65,5% algodón - 29% poliéster - 3,5% rayón - 2% elastano","[{""name"":""Azul"",""sizes"":{""23"":6,""24"":11,""25"":4,""26"":6,""28"":5,""30"":3,""32"":10,""34"":5,""36"":6}}]","denim,invierno26,jean",6,11,4,6,5,3,active
Jean Wide Leg 901,Sail,Jeans,155400,77700,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39010750_JEAN_WIDE_LEG_901_AZUL_02.jpg?v=1771959011,"Jean wide leg rigido, tiro alto, 5 bolsillos. Posee combinación de lavado con desgaste y tiras laterales en color pleno. Composición: 100% algodón Referencia: La modelo mide 1.71m y usa talle S.",100% algodón,"[{""name"":""Azul"",""sizes"":{""XS"":6,""S"":10,""M"":8,""L"":6,""XL"":4}}]","denim,invierno26,jean",6,10,8,6,4,0,active
Jean Bootcut 630,Sail,Jeans,145950,72975,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38010351_JEAN_BOOTCUT_630_CELESTE_01_f314d227-cc0c-42cf-b8ff-4407927dc5f6.jpg?v=1764187081,"Jean bootcut tiro alto, 5 bolsillos, elastizado. Posee lavado claro con localizado y bigotes levemente marcados. Composición: 63,5% algodón - 26% poliéster - 9% rayón - 1,5% elastano Referencia de talle: La modelo mide 1,72m y está usando talle S.","63,5% algodón - 26% poliéster - 9% rayón - 1,5% elastano","[{""name"":""Celeste"",""sizes"":{""23"":7,""24"":9,""25"":11,""26"":9,""28"":7,""30"":11,""32"":6,""34"":7,""36"":11}}]","denim,jean,jeanss26,lanzamiento,navidad25,oportunidades25,verano26",7,9,11,9,7,11,active
Jean Oxford 825,Sail,Jeans,100800,50400,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39010650_JEAN_OXFORD_825_AZUL_03.jpg?v=1771957313,"Jean oxford de tiro alto confeccionado en denim elastizado, ideal para realzar la silueta con comodidad y movimiento. Su calce se ajusta en la parte superior y se abre suavemente desde la rodilla, logrando una línea favorecedora y versátil para usar todos los días. Presenta lavado azul pleno, cinco bolsillos funcionales y un diseño clásico que lo convierte en un básico fácil de combinar con remeras, camisas, sweaters o blazers, tanto en looks casuales como más arreglados. Detalles Jean oxford Tiro alto Denim elastizado Lavado azul pleno Cinco bolsillos funcionales Calce cómodo y favorecedor Diseño clásico y versátil Composición 65,5% algodón - 29% poliéster - 3,5% rayón - 2% elastano Cuidados Lavar a máquina con agua fría Lavar del revés y con colores similares No usar lavandina No dejar en remojo No usar secadora Plancha tibia si es necesario Secar a la sombra Referencia de talle La modelo mide 1,71 m y usa talle 26.","65,5% algodón - 29% poliéster - 3,5% rayón - 2% elastano","[{""name"":""Azul"",""sizes"":{""23"":8,""24"":6,""25"":4,""26"":11,""28"":3,""30"":5,""32"":7,""34"":11,""36"":3}}]","denim,hotsale26,invierno26,jean",8,6,4,11,3,5,active
Jean Recto 321,Sail,Jeans,149100,74550,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/Jean_recto_321.png?v=1772738648,"Jean recto curvy tiro alto, elastizado, con lavado azul localizado con desgastes en bolsillos y botamanga. Posee 5 bolsillos. Composición: 63,5% algodón - 26% poliéster - 9% rayón - 1,5% elastano Referencia de talle: La modelo mide 1,72m y está usando talle 25.","63,5% algodón - 26% poliéster - 9% rayón - 1,5% elastano","[{""name"":""Azul"",""sizes"":{""23"":6,""24"":4,""25"":7,""26"":9,""28"":8,""30"":10,""32"":3,""34"":11,""36"":7}}]","denim,jean,jeanss26,lanzamiento,navidad25,verano26",6,4,7,9,8,10,active
Jean Boyfriend 515,Sail,Jeans,118960,59480,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/37010951JEAN515CELESTE06.jpg?v=1748981447,"Jean boyfriend de tiro alto confeccionado en denim rígido 100% algodón, ideal para quienes buscan un calce cómodo y un estilo relajado para todos los días. Su silueta recta aporta un look canchero y versátil, fácil de combinar con remeras, sweaters o camisas. Presenta lavado celeste con leve efecto de bigotes y localizado, logrando un acabado auténtico y atemporal. Cuenta con cinco bolsillos funcionales y costuras clásicas que refuerzan su diseño denim tradicional. Además, el agua utilizada en el proceso de lavado y teñido fue especialmente tratada para reducir el impacto ambiental. Detalles Jean boyfriend Tiro alto Denim rígido Calce recto y relajado Lavado celeste con localizado Leve efecto bigotes Cinco bolsillos funcionales Costuras clásicas Composición 100% Algodón Cuidados Lavar a máquina con agua fría Lavar del revés y con colores similares No usar lavandina Puede desteñir en los primeros lavados No usar secadora Plancha tibia Secar a la sombra Referencia de talle: La modelo mide 1.72 m y usa talle 26.",100% Algodón,"[{""name"":""Celeste"",""sizes"":{""23"":4,""24"":9,""25"":7,""26"":11,""28"":9,""30"":11,""32"":4,""34"":9,""36"":5}}]","delfi,denim,hotsale26,jean,winter25",4,9,7,11,9,11,active
Jean Barrel 1000,Sail,Jeans,149100,74550,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39010850_JEAN_BARREL_1000_AZUL_01.jpg?v=1771959676,"Jean barrel rígido tiro alto, con cintura angosta y 5 bolsillos. Posee lavado azul, con localizado y bigotes. Composición: 100% algodón Referencia: La modelo mide 1.71m y usa talle S.",100% algodón,"[{""name"":""Azul"",""sizes"":{""XS"":3,""S"":6,""M"":9,""L"":5,""XL"":4}}]","denim,invierno26,jean",3,6,9,5,4,0,active
