name,brand,category,price,cost,imageUrl,description,material,colors,tags,XS,S,M,L,XL,XXL,status
Polera Gloria,SAIL,Remeras,42000,21000,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/28FA3EF9-941E-4FDB-8F74-669C66501A32_1.png?v=1749573926,Polera de manga larga confeccionada en tejido suave y elastizado ideal para sumar un básico versátil y femenino. Calce entallado con cuello fruncido y textura acanalada.,Poliester - Spandex,"Marino","polera, manga larga, básico, femenino",15,20,30,25,10,5,active
Remera Vanesa,SAIL,Remeras,38640,19320,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39220843REMERAVANESAROSA04.jpg?v=1772725922,Remera de manga larga confeccionada en modal soft con estampa delantera. Escote redondo y calce al cuerpo.,Poliester - Elastano,"Rosa,Gris","remera, manga larga, estampa, modal",15,25,30,20,10,5,active
Remera Mara,SAIL,Remeras,42000,21000,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39200836REMERAMARACHOCOLATE04.jpg?v=1776456722,Remera de jersey oversize con escote redondo y manga corta. Estampa en delantero y espalda.,100% Algodón,"Chocolate,Gris","remera, oversize, jersey, estampa",10,20,25,15,0,0,active
Remera Flavia,SAIL,Remeras,54600,27300,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39200836REMERAMARACHOCOLATE04.jpg?v=1776456722,Remera de manga corta con diseño moderno y femenino. Ideal para looks casuales.,Algodón,"Blanco","remera, manga corta, básico, casual",12,22,28,20,10,5,active
Remera Kira,SAIL,Remeras,48300,24150,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39202902REMERAKIRAGRIS04.jpg?v=1771440698,Remera oversize con escote redondo y manga corta con estampa.,100% Algodón,"Gris","remera, oversize, estampa, algodón",10,18,22,15,0,0,active
Remera Chloe,SAIL,Remeras,46200,23100,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39220843REMERAVANESAROSA04.jpg?v=1772725922,Remera de manga corta con estilo femenino y versátil. Ideal para el día a día.,Algodón,"Crudo,Celeste","remera, femenino, versátil, casual",12,20,25,18,8,4,active
Remera Margarita,SAIL,Remeras,35700,17850,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39200836REMERAMARACHOCOLATE04.jpg?v=1776456722,Remera de manga corta con diseño clásico y atemporal.,Algodón,"Petróleo,Beige,Camel","remera, clásico, atemporal, básico",15,22,28,20,10,5,active
Remera Felicia,SAIL,Remeras,29400,14700,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39220843REMERAVANESAROSA04.jpg?v=1772725922,Remera de manga corta con diseño femenino. Ideal para looks casuales y combinaciones versátiles.,Algodón,"Off White,Rosa","remera, casual, femenino, versátil",15,25,30,22,12,6,active
Remera Cecilia,SAIL,Remeras,39900,19950,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39200602REMERACECILIAGRIS04.jpg?v=1772626379,Remera de jersey con escote V y manga arremangada. Estampa en el delantero.,100% Algodón,"Gris","remera, jersey, escote V, estampa",12,20,28,22,10,5,active
Remera Pilar,SAIL,Remeras,37800,18900,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39201710REMERAPILARBLANCO04.jpg?v=1772637775,Remera de jersey manga corta con escote redondo y espalda irregular con martillo lateral. Estampa en delantero.,Algodón - Poliester,"Blanco,Vison","remera, jersey, espalda irregular, estampa",15,22,26,20,8,4,active
