name,brand,category,price,cost,imageUrl,description,material,colors,tags,XS,S,M,L,XL,XXL,status
Pantalon Almendra,Sail,Pantalones,109200,54600,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39510101_PANTALON_ALMENDRA_NEGRO_01.jpg?v=1772212259,Pantalón eco cuero wide leg tiro alto con bolsillos traseros. Composición: 100% poliéster Referencia: La modelo mide 1.71m y usa talle M.,100% poliéster,"[{""name"":""Negro"",""sizes"":{""S"":10,""M"":7,""L"":7}}]","invierno26,Noche,pantalon",0,10,7,7,0,0,active
Pantalon Gwen,Sail,Pantalones,66150,33075,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39030437_PANTALON_GWEN_VISON_01.jpg?v=1772027953,"Pantalón sastrero tobillero confeccionado en lyocell, ideal para lograr un look cómodo, liviano y sofisticado. Su diseño de líneas limpias y caída suave lo convierte en una prenda versátil para usar tanto en outfits casuales como en combinaciones más arregladas. Presenta calce pitillo relajado, cintura elastizada que aporta mayor confort y ruedo con pequeños tajos laterales que suman movimiento y un detalle sutil al diseño. Además, cuenta con bolsillos traseros que completan su estética sastrera y funcional. Detalles Pantalón sastrero Largo tobillero Calce pitillo relajado Cintura elastizada Tajos en el ruedo Bolsillos traseros Tejido liviano y de caída suave Diseño versátil y cómodo Composición 100% lyocel Cuidados Lavar a mano o en ciclo delicado con agua fría Lavar con colores similares No usar lavandina No usar secadora Secar a la sombra Plancha tibia del revés si es necesario No retorcer Referencia de talles La modelo mide 1,71 m y usa talle S.",100% lyocel,"[{""name"":""Vison"",""sizes"":{""XS"":9,""S"":13,""M"":5,""L"":12,""XL"":8}},{""name"":""Beige"",""sizes"":{""XS"":5,""S"":12,""M"":9,""L"":6,""XL"":5}},{""name"":""Azul"",""sizes"":{""XS"":13,""S"":11,""M"":4,""L"":4,""XL"":5}},{""name"":""Negro"",""sizes"":{""XS"":4,""S"":12,""M"":3,""L"":4,""XL"":9}}]","hotsale26,invierno26,pantalon,sastreria",31,48,21,26,27,0,active
Pantalon Ines,Sail,Pantalones,99750,49875,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39020301_PANTALON_INES_NEGRO_01.jpg?v=1771962277,Pantalón sastrero a la cintura con pinzas. Composición: 55% Poliéster -25% Rayón- 10% Tencel - 6% Lana - 4% Spandex Referencia: La modelo mide 1.65m y usa talle S.,55% Poliéster -25% Rayón- 10% Tencel - 6% Lana - 4% Spandex,"[{""name"":""Negro"",""sizes"":{""S"":11,""M"":12,""L"":15}},{""name"":""Chocolate"",""sizes"":{""S"":4,""M"":7,""L"":10}}]","invierno26,pantalon,sastreria",0,15,19,25,0,0,active
Pantalon Serena,Sail,Pantalones,109200,54600,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39020414_PANTALON_SERENA_BEIGE_01.jpg?v=1772017084,"Pantalón tiro alto con elástico en la cintura, tobillero. Composición: 55% tencel - 45% algodón Referencia: La modelo mide 1.71m y usa talle S",55% tencel - 45% algodón,"[{""name"":""Militar"",""sizes"":{""S"":11,""M"":6,""L"":10,""XL"":8}},{""name"":""Beige"",""sizes"":{""S"":6,""M"":7,""L"":8,""XL"":6}}]","invierno26,pantalon",0,17,13,18,14,0,active
Pantalon Sur,Sail,Pantalones,109200,54600,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39020501PANTALONSURNEGRO02.jpg?v=1772554570,"Pantalón símil denim tiro alto elastizado, con 5 bolsillos. Posee elástico en la cintura y largo hasta el tobillo. Composición: 98% algodón - 2% elastano Referencia: La modelo mide 1.71m y usa talle S",98% algodón - 2% elastano,"[{""name"":""Negro"",""sizes"":{""S"":7,""M"":4,""L"":15}}]","invierno26,pantalon",0,7,4,15,0,0,active
Pantalon Muna,Sail,Pantalones,98700,49350,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39020601_PANTALON_MUNA_NEGRO_10.jpg?v=1772635132,"Pantalón wide leg símil denim, con tiro alto y 5 bolsillos. Composición: 98% algodón - 2% elastano Referencia: La modelo mide 1.71m y usa talle M.",98% algodón - 2% elastano,"[{""name"":""Negro"",""sizes"":{""S"":13,""M"":21,""L"":19}}]","invierno26,pantalon",0,13,21,19,0,0,active
Pantalon Liv,Sail,Pantalones,99750,49875,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39020775_PANTALON_LIV_MILITAR_03.jpg?v=1772017975,"Pantalón de corderoy, con bolsillos delanteros y elástico en cintura trasera. Composición: 85% Poliéster - 13% poliamida - 2% elastano Referencia: La modelo mide 1.71m y usa talle S.",85% Poliéster - 13% poliamida - 2% elastano,"[{""name"":""Militar"",""sizes"":{""S"":3,""M"":6,""L"":9}},{""name"":""Negro"",""sizes"":{""S"":5,""M"":15,""L"":6}},{""name"":""Chocolate"",""sizes"":{""S"":10,""M"":14,""L"":4}}]","invierno26,pantalon",0,18,35,19,0,0,active
Pantalon Agustina,Sail,Pantalones,121800,60900,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/Pantalon_Agustina_-_Chocolate.png?v=1775846744,"Pantalón sastrero tiro alto, wide leg con tablones en delantero y cierre delantero. Composición: 70% poliéster - 30% rayón Referencia: La modelo mide 1.71m y usa talle S.",70% poliéster - 30% rayón,"[{""name"":""Chocolate"",""sizes"":{""S"":6,""M"":4,""L"":11}},{""name"":""Beige"",""sizes"":{""S"":8,""M"":10,""L"":3}}]","invierno26,pantalon,sastreria",0,14,14,14,0,0,active
Pantalon Giovana,Sail,Pantalones,107100,53550,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38031550PANTALONGIOVANAAZUL01.jpg?v=1761590192,"Pantalón tiro medio con pinzas tobillero. Composición: 97% poliéster - 3% elastano Referencia de talle: La modelo mide 1,72m y está usando talle S.",97% poliéster - 3% elastano,"[{""name"":""Azul"",""sizes"":{""XS"":4,""S"":5,""M"":5,""L"":7,""XL"":5}},{""name"":""Natural"",""sizes"":{""XS"":4,""S"":4,""M"":5,""L"":5,""XL"":7}},{""name"":""Negro"",""sizes"":{""XS"":4,""S"":3,""M"":3,""L"":7,""XL"":7}}]","lanzamiento,navidad25,pantalon,pantalonss26,sastreria,verano26",12,12,13,19,19,0,active
Jogging Tomasa,Sail,Pantalones,84000,42000,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39080304PANTALONJOGGINGTOMASAGRISCLARO01.jpg?v=1772469929,Jogging de rustico con patas anchas y bolsillos delanteros. Composición: 80% Poliéster - 17% Viscosa- 3% elastano Referencia: La modelo mide 1.65m y usa talle S.,80% Poliéster - 17% Viscosa- 3% elastano,"[{""name"":""Gris Claro"",""sizes"":{""S"":11,""M"":22,""L"":5,""XL"":16}}]","Active,invierno26,pantalon",0,11,22,5,16,0,active
Pantalon Bimba,Sail,Pantalones,111300,55650,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38510301_PANTALON_BIMBA_NEGRO_01.png?v=1757017506,"Pantalón sastrero de noche, con brillo, tobillero. Lleva elástico en cintura. Composición: 89% Rayón - 11% Poliéster Referencia de talle: La modelo mide 1,72m y está usando talle S.",89% Rayón - 11% Poliéster,"[{""name"":""Negro"",""sizes"":{""S"":11,""M"":6,""L"":4,""XL"":5}},{""name"":""Grafito"",""sizes"":{""S"":11,""M"":10,""L"":3,""XL"":5}}]","lanzamiento,navidad25,oportunidades25,pantalon,pantalonss26,sastreria,verano26",0,22,16,7,10,0,active
Pantalon Pilar,Sail,Pantalones,119700,59850,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/PANTALON_PILAR.heic?v=1757075921,"Pantalón wide leg de gabardina animal print, con bolsillos delanteros y elástico en la cintura trasera. Composición: 100% Algodón Referencia de talle: La modelo mide 1,72m y está usando talle S.",100% Algodón,"[{""name"":""Animal Print"",""sizes"":{""S"":12,""M"":11,""L"":7}}]","lanzamiento,navidad25,oportunidades25,pantalon,pantalonss26,verano26",0,12,11,7,0,0,active
