name,brand,category,price,cost,imageUrl,description,material,colors,tags,XS,S,M,L,XL,XXL,status
Sweater Tejido Melina,Sail,Buzos y Sweaters,110880,55440,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39321511_SWEATER_TEJIDO_MELINA_01.jpg?v=1773061804,"Sweater tejido de escote redondo con diseño rayado, ideal para sumar un toque clásico y actual a los looks de todos los días. Confeccionado en hilado suave y abrigado, presenta una textura acanalada que aporta detalle y una caída cómoda. Sus mangas amplias le dan una silueta relajada y moderna, perfecta para combinar con jeans, pantalones sastreros o prendas de denim en outfits casuales y urbanos. Detalles Sweater tejido rayado Escote redondo Mangas amplias Textura acanalada Calce cómodo y relajado Tejido suave y abrigado Composición 100% Acrílico Cuidados Lavar a mano con agua fría No usar lavandina Secar en plano No retorcer No usar secadora Plancha suave del revés si es necesario Referencia de talles La modelo del color crudo mide 1,72 m y usa talle S. La modelo del color negro mide 1,71 m y usa talle S.",100% Acrílico,"[{""name"":""Crudo"",""sizes"":{""S"":6,""M"":5,""L"":7}},{""name"":""Negro"",""sizes"":{""S"":6,""M"":11,""L"":6}}]","hotsale26,invierno26,sweater",0,12,16,13,0,0,active
Cárdigan Tejido Ema,Sail,Buzos y Sweaters,168000,84000,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39320201_CARDIGAN_TEJIDO_EMA_01.jpg?v=1772045511,"Cárdigan tejido en mohair, de calce regular, en jacquard animal print, con mangas caídas, escote en V, puños en terminación de manga y ruedo. Composición: 45% mohair - 20% lana - 15% poliamida - 20% viscosa Referencia: La modelo mide 1.71m y usa talle S.",45% mohair - 20% lana - 15% poliamida - 20% viscosa,"[{""name"":""Negro"",""sizes"":{""S"":6,""M"":3,""L"":3}},{""name"":""Gris Topo"",""sizes"":{""S"":5,""M"":6,""L"":7}}]","invierno26,sweater",0,11,9,10,0,0,active
Cardigan Tejido Fiona,Sail,Buzos y Sweaters,109200,54600,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39320602_CARDIGAN_TEJIDO_FIONA_01.jpg?v=1773771161,"Cárdigan tejido abotonado en delantero, básico escote redondo. Composición: viscosa - nylon - poliéster Referencia: La modelo mide 1.71m y usa talle S.",viscosa - nylon - poliéster,"[{""name"":""Gris"",""sizes"":{""S"":5,""M"":3,""L"":8,""XL"":10}},{""name"":""Negro"",""sizes"":{""S"":9,""M"":10,""L"":8,""XL"":3}}]","invierno26,sweater",0,14,13,16,13,0,active
Sweater Fernanda,Sail,Buzos y Sweaters,69300,34650,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39310241SWEATERFERNANDA02.jpg?v=1772739667,Sweater de morley afelpado manga larga con escote redondo y capucha. Posee terminación con rulotte en el ruedo. Composición: Algodón - Elastano Referencia de talles: La modelo mide 1.71m y usa talle S.,Algodón - Elastano,"[{""name"":""Rosa Viejo"",""sizes"":{""S"":4,""M"":10,""L"":21,""XL"":11}}]","invierno26,sweater",0,4,10,21,11,0,active
Sweater Celina,Sail,Buzos y Sweaters,97440,48720,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39322101SWEATERTEJIDOCELINANEGRO03.jpg?v=1772563993,"Sweater básico de escote redondo, ideal para sumar suavidad, abrigo liviano y versatilidad a los looks de todos los días. Su diseño simple y atemporal lo convierte en una prenda esencial de temporada, fácil de combinar con jeans, pantalones sastreros, faldas o prendas de gabardina. Confeccionado en un tejido suave y confortable, presenta mangas largas y terminaciones tejidas en cuello, puños y ruedo que aportan mejor ajuste y una caída prolija. Es una opción práctica y cómoda para usar tanto en outfits casuales como en combinaciones más arregladas. Detalles Sweater básico Escote redondo Manga larga Terminaciones tejidas Calce cómodo y versátil Diseño atemporal y fácil de combinar Composición Viscosa - Nylon - Poliéster Cuidados Lavar a mano con agua fría No usar lavandina Secar en plano No retorcer No usar secadora Plancha suave del revés si es necesario Referencia de talle La modelo mide 1,71 m y usa talle S.",Viscosa - Nylon - Poliéster,"[{""name"":""Negro"",""sizes"":{""S"":5,""M"":3,""L"":4,""XL"":5}},{""name"":""Azul"",""sizes"":{""S"":9,""M"":7,""L"":9,""XL"":5}},{""name"":""Natural"",""sizes"":{""S"":4,""M"":3,""L"":5,""XL"":4}},{""name"":""Gris"",""sizes"":{""S"":3,""M"":10,""L"":9,""XL"":9}}]","hotsale26,invierno26,sweater",0,21,23,27,23,0,active
Cardigan Renata,Sail,Buzos y Sweaters,88200,44100,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39322712_CARDIGAN_TEJIDO_RENATA_01.jpg?v=1773158783,Cárdigan tejido con escote en V. Composición: 10% lana - 30% poliamida - 60% acrílico - 4 elastano Referencia: La modelo mide 1.71m y usa talle 1.,10% lana - 30% poliamida - 60% acrílico - 4 elastano,"[{""name"":""Natural"",""sizes"":{""1"":8,""2"":8}},{""name"":""Negro"",""sizes"":{""1"":7,""2"":12}},{""name"":""Gris Medio"",""sizes"":{""1"":6,""2"":6}}]","invierno26,sweater",0,0,0,0,0,0,active
Sweater Ellen,Sail,Buzos y Sweaters,121800,60900,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39322412SWEATERTEJIDOELLEN01.jpg?v=1772563453,Sweater escote V básico. Composición: viscosa - nylon - poliéster Referencia: La modelo mide 1.71m y usa talle S.,viscosa - nylon - poliéster,"[{""name"":""Oliva"",""sizes"":{""S"":5,""M"":7,""L"":7,""XL"":7}},{""name"":""Marino"",""sizes"":{""S"":4,""M"":5,""L"":4,""XL"":4}},{""name"":""Negro"",""sizes"":{""S"":7,""M"":6,""L"":4,""XL"":4}}]","invierno26,sweater",0,16,18,15,15,0,active
Sweater Fiorella,Sail,Buzos y Sweaters,56700,28350,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/39310102_SWEATER_FIORELLA_03.jpg?v=1772037599,Sweater manga larga escote redondo. Composición: Viscosa - poliéster Referencia: La modelo mide 1.71m y usa talle S.,Viscosa - poliéster,"[{""name"":""Habano"",""sizes"":{""S"":7,""M"":18,""L"":19}},{""name"":""Gris"",""sizes"":{""S"":6,""M"":10,""L"":18}}]","invierno26,sweater",0,13,28,37,0,0,active
Sweater Tejido Agata,Sail,Buzos y Sweaters,69090,34545,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38320116_SWEATER_TEJIDO_AGATA_CAMEL_01.jpg?v=1762356064,"Sweater tejido confeccionado en viscosa de tacto suave y liviano, ideal para sumar un básico versátil y femenino al guardarropa. Su diseño minimalista con escote redondo y manga raglan ofrece un calce cómodo y una caída delicada que se adapta fácilmente a distintos looks. Presenta sisas menguadas y terminaciones en puños y ruedo que aportan una mejor estructura y un acabado prolijo. Perfecto para combinar con jeans, pantalones estampados o prendas sastreras en outfits casuales y urbanos. Detalles Sweater tejido Escote redondo Manga raglan Sisas menguadas Puños tejidos Tejido suave y liviano Calce cómodo y versátil Composición 75% Viscosa - 25% Poliamida Cuidados Lavar a mano con agua fría No usar lavandina Secar en plano No retorcer No usar secadora Plancha suave del revés si es necesario Referencia de talle La modelo mide 1,72 m y está usando talle S.",75% Viscosa - 25% Poliamida,"[{""name"":""Camel"",""sizes"":{""S"":13,""M"":4,""L"":6,""XL"":16}},{""name"":""Arena"",""sizes"":{""S"":20,""M"":13,""L"":3,""XL"":12}}]","hotsale26,navidad25,oportunidades25,sweater,sweaterdiscontinuo,verano26",0,33,17,9,28,0,active
Buzo Martina,Sail,Buzos y Sweaters,40425,20213,https://cdn.shopify.com/s/files/1/0626/3681/8625/files/38300101_BUZO_MARTINA_NEGRO_01_b1cdebc4-f578-47c5-9e3e-73d538a1e1f9.jpg?v=1763558770,"Buzo de calce relajado confeccionado en tejido suave y confortable, ideal para acompañar looks deportivos y urbanos. Su diseño con mangas caídas aporta un estilo moderno y cómodo, mientras que el cierre en el escote permite adaptarlo fácilmente a distintos usos y temperaturas. Cuenta con cintura elastizada que brinda mejor ajuste y una silueta más cómoda. Perfecto para combinar con leggings, joggers o jeans en outfits casuales y versátiles para todos los días. Detalles Buzo de calce relajado Mangas caídas Escote con cierre Cintura elastizada Tejido suave y confortable Estilo casual y deportivo Composición Viscosa - Poliéster Cuidados Lavar a mano o en ciclo delicado con agua fría No usar lavandina No usar secadora Secar a la sombra Plancha suave del revés si es necesario No retorcer Referencia de talle: La modelo mide 1,72m y está usando talle S.",Viscosa - Poliéster,"[{""name"":""Negro"",""sizes"":{""S"":5,""M"":15,""L"":6}},{""name"":""Lila"",""sizes"":{""S"":19,""M"":16,""L"":12}}]","Active,buzo,buzodiscontinuo,buzoss26,hotsale26,lanzamiento,navidad25,oportunidades25,playa,sweaterdiscontinuo,verano26",0,24,31,18,0,0,active
